   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1            8054               1               0 

              2            8054               2               0 

              2            8054               3               0 

              3            8054               4               0 

              4            8054               5               0 

              3            8054               6               0 

              5            8054               7               0 

              6            8054               8               0 

              3            8054               9               0 

              5            8054              10               0 

              4            8054              11               0 

              5            8054              12               0 

              5            8054              13               0 

              4            8054              14               0 

              5            8054              15               0 

              7            8054              16               0 

              6            8054              17               0 

              6            8054              18               0 

              6            8054              19               0 

              6            8054              20               0 

              7            8054              21               0 

              4            8054              22               0 

              6            8054              23               0 

              4            8054              24               0 

              3            8054              25               0 

              5            8054              26               0 

              7            8054              27               0 

              4            8054              28               0 

              5            8054              29               0 

              6            8054              30               0 

              6            8054              31               0 

              7            8054              32               0 

              7            8054              33               0 

              6            8054              34               0 

              8            8054              35               0 

              7            8054              36               0 

              7            8054              37               0 

              4            8054              38               0 

              8            8054              39               0 

              5            8054              40               0 

              5            8054              41               0 

              6            8054              42               0 

              9            8054              43               0 

              7            8054              44               0 

              8            8054              45               0 

              6            8054              46               0 

              8            8054              47               0 

              9            8054              48               0 

              7            8054              49               0 

              8            8054              50               0 

              9            8054              51               0 

              5            8054              52               0 

             10            8054              53               0 

              6            8054              54               0 

              8            8054              55               0 

             10            8054              56               0 

              6            8054              57               0 

             10            8054              58               0 

              8            8054              59               0 

             11            8054              60               0 

              6            8054              61               0 

              7            8054              62               0 

              7            8054              63               0 

              9            8054              64               0 

              8            8054              65               0 

              4            8054              66               0 

              7            8054              67               0 

              9            8054              68               0 

              5            8054              69               0 

              8            8054              70               0 

              5            8054              71               0 

              7            8054              72               0 

              7            8054              73               0 

              9            8054              74               0 

              6            8054              75               0 

             12            8054              76               0 

              9            8054              77               0 

             10            8054              78               0 

              7            8054              79               0 

             10            8054              80               0 

              8            8054              81               0 

              5            8054              82               0 

             10            8054              83               0 

             10            8054              84               0 

              8            8054              85               0 

             11            8054              86               0 

              7            8054              87               0 

              6            8054              88               0 

              8            8054              89               0 

              9            8054              90               0 

             11            8054              91               0 

              6            8054              92               0 

             11            8054              93               0 

              8            8054              94               0 

              7            8054              95               0 

              7            8054              96               0 

              7            8054              97               0 

             11            8054              98               0 

             10            8054              99               0 

              9            8054             100               0 

              9            8054             101               0 

             12            8054             102               0 

              8            8054             103               0 

             10            8054             104               0 

              8            8054             105               0 

              5            8054             106               0 

              6            8054             107               0 

             11            8054             108               0 

              5            8054             109               0 

             12            8054             110               0 

             12            8054             111               0 

             13            8054             112               0 

              8            8054             113               0 

              6            8054             114               0 

              9            8054             115               0 

              9            8054             116               0 

             13            8054             117               0 

              8            8054             118               0 

             10            8054             119               0 

              9            8054             120               0 

              8            8054             121               0 

             11            8054             122               0 

              9            8054             123               0 

             10            8054             124               0 

              9            8054             125               0 

             10            8054             126               0 

             11            8054             127               0 

              9            8054             128               0 

             10            8054             129               0 

             13            8054             130               0 

              8            8054             131               0 

