   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1           22841               1               0 

              3           22841               2               0 

              5           22841               3               0 

              7           22841               4               0 

              7           22841               5               0 

              9           22841               6               0 

              9           22841               7               0 

              3           22841               8               0 

              9           22841               9               0 

             11           22841              10               0 

             11           22841              11               0 

             13           22841              12               0 

              5           22841              13               0 

              7           22841              14               0 

             11           22841              15               0 

             13           22841              16               0 

             13           22841              17               0 

             15           22841              18               0 

             15           22841              19               0 

              5           22841              20               0 

              9           22841              21               0 

             15           22841              22               0 

             17           22841              23               0 

             17           22841              24               0 

             13           22841              25               0 

              5           22841              26               0 

             11           22841              27               0 

             19           22841              28               0 

              7           22841              29               0 

             19           22841              30               0 

             15           22841              31               0 

             17           22841              32               0 

             17           22841              33               0 

             21           22841              34               0 

              9           22841              35               0 

             15           22841              36               0 

             21           22841              37               0 

              7           22841              38               0 

              7           22841              39               0 

             13           22841              40               0 

             15           22841              41               0 

             13           22841              42               0 

             19           22841              43               0 

             13           22841              44               0 

             13           22841              45               0 

             19           22841              46               0 

              7           22841              47               0 

             11           22841              48               0 

              9           22841              49               0 

             11           22841              50               0 

              9           22841              51               0 

             15           22841              52               0 

             15           22841              53               0 

             11           22841              54               0 

             23           22841              55               0 

             15           22841              56               0 

             23           22841              57               0 

              9           22841              58               0 

             23           22841              59               0 

             17           22841              60               0 

             15           22841              61               0 

             13           22841              62               0 

             13           22841              63               0 

             17           22841              64               0 

              9           22841              65               0 

             17           22841              66               0 

             11           22841              67               0 

             11           22841              68               0 

             25           22841              69               0 

             17           22841              70               0 

             19           22841              71               0 

             23           22841              72               0 

             11           22841              73               0 

             17           22841              74               0 

             19           22841              75               0 

             13           22841              76               0 

             21           22841              77               0 

             13           22841              78               0 

             13           22841              79               0 

             11           22841              80               0 

             19           22841              81               0 

             19           22841              82               0 

             19           22841              83               0 

             11           22841              84               0 

             25           22841              85               0 

             25           22841              86               0 

             13           22841              87               0 

             11           22841              88               0 

              9           22841              89               0 

             13           22841              90               0 

             15           22841              91               0 

             15           22841              92               0 

             13           22841              93               0 

             17           22841              94               0 

             27           22841              95               0 

             29           22841              96               0 

             15           22841              97               0 

             19           22841              98               0 

             25           22841              99               0 

             11           22841             100               0 

             13           22841             101               0 

             17           22841             102               0 

             27           22841             103               0 

             21           22841             104               0 

             15           22841             105               0 

             13           22841             106               0 

             15           22841             107               0 

              7           22841             108               0 

             21           22841             109               0 

              9           22841             110               0 

             29           22841             111               0 

             25           22841             112               0 

             27           22841             113               0 

             15           22841             114               0 

             19           22841             115               0 

             17           22841             116               0 

              9           22841             117               0 

             21           22841             118               0 

             11           22841             119               0 

             17           22841             120               0 

             11           22841             121               0 

             19           22841             122               0 

             21           22841             123               0 

             27           22841             124               0 

             15           22841             125               0 

             11           22841             126               0 

             29           22841             127               0 

             27           22841             128               0 

             23           22841             129               0 

             19           22841             130               0 

             25           22841             131               0 

             17           22841             132               0 

             31           22841             133               0 

             21           22841             134               0 

             17           22841             135               0 

             19           22841             136               0 

             21           22841             137               0 

             29           22841             138               0 

             29           22841             139               0 

             15           22841             140               0 

             21           22841             141               0 

             19           22841             142               0 

             25           22841             143               0 

             23           22841             144               0 

             15           22841             145               0 

             23           22841             146               0 

             15           22841             147               0 

             23           22841             148               0 

